INEQ(GINI),ALL 8 ,CRIME MATCH INEQ?!,G.N.I. MATCH?!,HEALTHCARE MATCH?!,HOMICIDE MATCH,UNEMPLOY,TERROR,VACCINE,CRIME,G.N.I,HEALTHCARE,HOMICIDE,UNEMPLOY,TERROR,VACCINE
Marshall Islands,3,FALSE,TRUE,TRUE,,,,,Taiwan,Namibia,New Zealand,Nicaragua,North Macedonia,New Caledonia,Qatar
Monaco,3,TRUE,FALSE,TRUE,,,,,Uganda,Niger,Norway,Oman,Paraguay,North Korea,Saint Vincent and the Grenadines
Nauru,3,FALSE,TRUE,TRUE,,,,,Vietnam,Panama,Philippines,Philippines,Russia,Philippines,Sierra Leone
New Caledonia,3,FALSE,FALSE,FALSE,,,,,Zimbabwe,Peru,Qatar,Portugal,Saint Vincent and the Grenadines,Qatar,Slovenia
Aruba,2,FALSE,TRUE,FALSE,,,,,Azerbaijan,Australia,Austria,Armenia,Bahamas,Austria,Azerbaijan
Bermuda,2,FALSE,TRUE,FALSE,,,,,Bulgaria,Bhutan,Bosnia and Herzegovina,Bhutan,Brazil,Bosnia and Herzegovina,Botswana
Cayman Islands,2,FALSE,TRUE,FALSE,,,,,El Salvador,Chile,Comoros,Cook Islands,Costa Rica,Costa Rica,Costa Rica
Taiwan,2,TRUE,FALSE,FALSE,,,,,,Uruguay,Zimbabwe,Vanuatu,,West Bank and Gaza Strip,
Turks and Caicos Islands,2,FALSE,TRUE,FALSE,,,,,,,,,,,
Anguilla,1,FALSE,FALSE,FALSE,,,,,Argentina,Antigua and Barbuda,Antigua and Barbuda,Angola,Armenia,Antigua and Barbuda,Argentina
Curacao,1,FALSE,TRUE,FALSE,,,,,Haiti,Denmark,Dominica,El Salvador,Egypt,Ecuador,Eritrea
Gibraltar,1,FALSE,FALSE,FALSE,,,,,Malta,Guyana,Honduras,Hungary,Iceland,Haiti,Kenya
Greenland,1,FALSE,FALSE,FALSE,,,,,Mexico,Honduras,Iceland,India,Indonesia,Hong Kong,Kuwait
